FSSSI,CERTHHSZ,FSSLTDED,FSERNDED,FSUSIZE,FSDIS,REALPROP,FSERNDE2,SHELDED,FSGA,FSSTDDE2,FSNETINC,TPOV,LIQRESOR,FSASSET,RAWNET,FSNONCIT,FSNELDER,FSGRINC,FSTANF,WRK_POOR,FSEARN,FSSLTDE2,TANF_IND,FSWAGES,FSUNEARN,HWGT,FSTOTDE2,FSTOTDED,RAWERND,CAT_ELIG,VEHICLEA,FSVEHAST
0.0,5.0,417.0,246.0,5.0,0.0,0.0,274.0,417.0,0.0,162.0,647.0,80.0,0.0,0.0,647.0,0.0,0.0,1557.0,326.0,1.0,1231.0,417.0,1.0,1231.0,326.0,958.3204150285827,910.0,910.0,246.0,1.0,1.0,0.0
0.0,1.0,417.0,0.0,1.0,0.0,0.0,0.0,417.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,231.0,231.0,0.0,0.0,97.0,1.0,0.0,231.0,711.655694960853,231.0,551.0,0.0,1.0,1.0,0.0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,231.0,134.0,97.0,28.0,0.0,0.0,97.0,0.0,0.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0,743.1708434696594,134.0,134.0,0.0,1.0,1.0,0.0
0.0,4.0,0.0,259.0,4.0,0.0,0.0,259.0,0.0,0.0,139.0,898.0,78.0,0.0,0.0,900.0,0.0,0.0,1296.0,0.0,1.0,1296.0,0.0,0.0,1296.0,0.0,1011.3041718713243,398.0,398.0,260.0,0.0,1.0,0.0
0.0,1.0,349.0,0.0,1.0,0.0,0.0,0.0,348.0,0.0,201.0,267.0,92.0,0.0,0.0,268.0,0.0,0.0,750.0,0.0,0.0,0.0,349.0,0.0,0.0,750.0,798.594035706463,483.0,483.0,0.0,0.0,1.0,0.0
603.0,1.0,64.0,0.0,1.0,0.0,0.0,0.0,65.0,0.0,198.0,405.0,74.0,0.0,0.0,405.0,0.0,1.0,603.0,0.0,0.0,0.0,64.0,0.0,0.0,603.0,844.2366646014949,198.0,198.0,0.0,1.0,1.0,0.0
603.0,1.0,165.0,0.0,1.0,1.0,0.0,0.0,165.0,0.0,201.0,304.0,74.0,948.0,948.0,303.0,0.0,0.0,603.0,0.0,0.0,0.0,165.0,0.0,0.0,603.0,810.5480575611467,299.0,299.0,0.0,1.0,1.0,0.0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711.655694960853,0.0,134.0,0.0,0.0,1.0,0.0
0.0,2.0,104.0,0.0,2.0,0.0,0.0,0.0,104.0,0.0,201.0,151.0,35.0,0.0,0.0,150.0,0.0,0.0,389.0,389.0,0.0,0.0,104.0,1.0,0.0,389.0,754.3041129423527,238.0,238.0,0.0,1.0,1.0,0.0
0.0,4.0,85.0,258.0,4.0,0.0,0.0,343.0,85.0,0.0,208.0,808.0,77.0,403.0,403.0,807.0,0.0,0.0,1290.0,0.0,1.0,1290.0,85.0,0.0,1290.0,0.0,981.9624818750044,482.0,482.0,258.0,0.0,1.0,0.0
